name,refs,radius,onePixelDist,lodCount,verts0,tris0,verts1,tris1,verts2,tris2,verts3,tris3,verts4,tris4,verts5,tris5,verts6,tris6,verts7,tris7
wpn_ba_t7_chinatsu_view,1,17.65,22784.80,1,7362,5300
wpn_ba_t7_chinatsu_world,1,21.39,27610.66,1,7320,5172
wpn_ba_t7_chinatsu_mag_world,1,6.42,8285.51,1,239,128
tag_flash,1,0.00,0.00,1,3,1
wpn_t7_zmb_zod_rocket_shield_view,1,73.19,94466.57,1,2772,1970
wpn_t7_zmb_zod_rocket_shield_dmg1_view,1,73.19,94466.57,1,2772,1970
wpn_t7_zmb_zod_rocket_shield_dmg2_view,1,73.19,94466.57,1,2772,1970
wpn_t7_zmb_zod_rocket_shield_world,1,56.99,73557.60,1,2765,1970
wpn_t7_zmb_zod_rocket_shield_dmg1_world,1,56.99,73557.60,1,2765,1970
wpn_t7_zmb_zod_rocket_shield_dmg2_world,1,56.99,73557.60,1,2765,1970
wpn_t7_zmb_dlc1_rocket_shield_view,1,73.19,94466.57,1,2772,1970
wpn_t7_zmb_dlc1_rocket_shield_dmg1_view,1,73.19,94466.57,1,2772,1970
wpn_t7_zmb_dlc1_rocket_shield_dmg2_view,1,73.19,94466.57,1,2772,1970
wpn_t7_zmb_dlc1_rocket_shield_world,1,56.99,73557.60,1,2765,1970
wpn_t7_zmb_dlc1_rocket_shield_dmg1_world,1,56.99,73557.60,1,2765,1970
wpn_t7_zmb_dlc1_rocket_shield_dmg2_world,1,56.99,73557.60,1,2765,1970
wpn_t7_zmb_zod_rocket_shield_tank_parts,1,30.05,38784.54,1,1387,964
wpn_t7_zmb_zod_rocket_shield_eagle,1,55.39,71487.48,1,1397,964
wpn_t7_zmb_zod_rocket_shield_window,1,47.22,60940.32,1,138,126
wpn_t7_zmb_dlc3_dragon_shield_dmg0_view,1,60.59,78206.27,1,4700,4176
wpn_t7_zmb_dlc3_dragon_shield_dmg1_view,1,60.59,78206.27,1,4700,4176
wpn_t7_zmb_dlc3_dragon_shield_dmg2_view,1,60.59,78206.27,1,4700,4176
wpn_t7_zmb_dlc3_dragon_shield_dmg0_world,1,59.18,76376.88,1,8140,7346
wpn_t7_zmb_dlc3_dragon_shield_dmg1_world,1,59.18,76376.88,1,8140,7346
wpn_t7_zmb_dlc3_dragon_shield_dmg2_world,1,59.18,76376.88,1,8140,7346
wpn_t7_zmb_dlc3_dragon_shield_dmg0_upg_view,1,60.59,78206.27,1,4700,4176
wpn_t7_zmb_dlc3_dragon_shield_dmg1_upg_view,1,60.59,78206.27,1,4700,4176
wpn_t7_zmb_dlc3_dragon_shield_dmg2_upg_view,1,60.59,78206.27,1,4700,4176
wpn_t7_zmb_dlc3_dragon_shield_dmg0_upg_world,1,59.18,76376.88,1,8140,7346
wpn_t7_zmb_dlc3_dragon_shield_dmg1_upg_world,1,59.18,76376.88,1,8140,7346
wpn_t7_zmb_dlc3_dragon_shield_dmg2_upg_world,1,59.18,76376.88,1,8140,7346
wpn_t7_zmb_dlc3_dragon_window,1,35.15,45363.39,1,2877,2786
wpn_t7_zmb_dlc3_dragon_head,1,36.70,47367.56,1,512,612
wpn_t7_zmb_dlc3_dragon_pelvis,1,33.16,42792.50,1,4619,3764
powerup_money,1,24.64,31799.58,1,96,52
free_packapunch,1,28.08,36238.90,1,10369,12151
wpn_t7_mingun_view,1,67.37,86955.65,1,10032,7272
wpn_t7_mingun_world,1,67.37,86955.65,1,10032,7272
p7_zm_teddybear,1,23.13,29853.96,8,32,16,32,16,32,16,32,16,32,16,32,16,32,16,48,24
p7_zm_der2_teddybear,1,23.13,29853.96,8,32,16,32,16,32,16,32,16,32,16,32,16,32,16,48,24
p7_zm_zod_magic_box_tentacle_teddy,1,23.13,29853.96,8,32,16,32,16,32,16,32,16,32,16,32,16,32,16,48,24
p7_zm_teddybear_sitting,1,40.95,52850.77,8,64,28,111,56,175,113,296,227,506,425,906,851,1397,1419,2388,2838
p7_zm_der_magic_box_fake,1,84.90,109571.42,8,298,136,571,272,1030,545,1607,1089,2807,2042,4959,4086,7217,6813,10742,13626
p7_zm_vending_sleight,1,197.93,255459.19,1,39020,36418
p7_zm_vending_jugg,1,190.57,245961.94,1,20001,22552
p7_zm_vending_revive,1,158.01,203938.20,1,28730,37619
p7_zm_vending_doubletap2,1,151.27,195240.56,1,12746,12680
c_zom_dlc_waw_dempsey_body,1,116.60,150497.75,1,25629,31152
c_zom_dlc_waw_dempsey_head,1,124.04,160089.06,1,17834,22648
c_zom_dlc_waw_dempsey_mpc_body,1,143.15,184762.86,1,43412,53783
c_zom_dlc_waw_nikolai_fb,1,138.81,179157.02,1,82321,121532
c_zom_dlc_waw_takeo_nohat_fb,1,134.10,173083.77,1,81494,117418
p7_zm_sta_temp_heroes_pose_dempsey,1,75.59,97566.23,1,42316,52571
p7_zm_sta_temp_heroes_pose_nikolai,1,66.26,85522.22,1,82261,121576
p7_zm_sta_temp_heroes_pose_takeo,1,73.07,94304.20,1,80866,116499
